시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"189,200","192,900","181,900","182,900","190,600.00","202,760.00","197,412.50","304,779","56,544,572,300"
2024-06-18,"199,600","202,500","182,600","188,300","192,620.00","205,440.00","197,101.67","320,786","61,663,222,200"
2024-06-17,"199,200","203,500","194,100","195,600","193,580.00","207,950.00","196,765.83","164,320","32,531,427,200"
2024-06-14,"193,000","207,000","192,800","197,700","194,100.00","209,220.00","196,357.50","590,980","118,683,911,500"
2024-06-13,"196,000","197,800","188,100","188,500","194,200.00","210,610.00","195,929.17","324,731","61,984,178,900"
2024-06-12,"194,900","198,400","191,800","193,000","196,900.00","212,185.00","195,555.83","150,271","29,276,503,000"
2024-06-11,"198,200","199,600","192,200","193,100","198,600.00","213,585.00","195,133.33","151,523","29,404,685,500"
2024-06-10,"196,000","199,600","195,500","198,200","200,880.00","215,255.00","194,710.00","99,445","19,645,774,900"
2024-06-07,"205,000","206,000","196,300","198,200","200,680.00","217,870.00","194,232.50","186,735","37,382,561,200"
2024-06-05,"213,000","213,000","200,500","202,000","201,640.00","220,485.00","193,733.33","185,547","38,313,549,000"
2024-06-04,"203,500","211,000","199,800","201,500","202,540.00","222,635.00","193,214.17","121,614","24,974,615,500"
2024-06-03,"198,900","206,000","196,400","204,500","205,840.00","224,160.00","192,665.83","129,638","26,248,791,200"
2024-05-31,"202,500","203,500","194,400","197,200","209,140.00","225,935.00","192,177.50","226,728","44,736,434,800"
2024-05-30,"205,500","208,000","201,500","203,000","211,600.00","228,100.00","191,780.00","103,339","21,067,553,500"
2024-05-29,"219,000","224,000","203,500","206,500","215,700.00","230,150.00","191,403.33","265,963","56,265,893,000"
2024-05-28,"223,000","228,000","216,000","218,000","221,000.00","231,800.00","191,004.17","220,412","48,587,718,000"
2024-05-27,"209,500","230,000","208,000","221,000","224,700.00","232,300.00","190,540.00","469,375","103,815,275,000"
2024-05-24,"217,500","219,000","202,000","209,500","228,200.00","233,250.00","190,016.67","298,914","62,900,862,500"
2024-05-23,"235,000","238,500","220,500","223,500","230,500.00","233,975.00","189,597.50","179,320","40,442,413,500"
2024-05-22,"236,500","236,500","228,500","233,000","230,900.00","234,275.00","189,065.00","85,419","19,890,229,500"
2024-05-21,"240,500","241,000","232,500","236,500","228,300.00","234,525.00","188,534.17","89,743","21,230,254,500"
2024-05-20,"219,500","240,000","219,500","238,500","225,200.00","235,000.00","187,902.50","175,115","40,324,121,500"
2024-05-17,"223,000","228,500","217,500","221,000","222,800.00","235,275.00","187,249.17","118,155","26,285,763,000"
2024-05-16,"228,000","231,500","221,000","225,500","228,700.00","236,625.00","186,720.83","175,728","39,550,025,500"
2024-05-14,"220,500","228,500","218,000","220,000","233,700.00","238,350.00","186,175.00","125,800","28,078,082,500"
2024-05-13,"230,500","234,500","219,000","221,000","238,700.00","241,000.00","185,691.67","226,748","50,757,267,500"
2024-05-10,"250,000","250,500","222,500","226,500","240,900.00","242,800.00","185,170.00","367,735","85,224,119,500"
2024-05-09,"252,000","252,500","243,500","250,500","243,600.00","244,050.00","184,608.33","120,317","29,989,892,000"
2024-05-08,"244,500","251,000","243,000","250,500","241,600.00","243,525.00","183,910.00","120,692","29,930,493,500"
2024-05-07,"239,000","248,000","238,000","245,000","240,300.00","243,275.00","183,175.83","141,504","34,528,440,000"
2024-05-03,"246,000","248,000","230,500","232,000","239,200.00","243,975.00","182,501.67","112,414","26,605,493,000"
2024-05-02,"235,000","242,500","233,000","240,000","238,400.00","243,150.00","181,935.00","94,238","22,425,915,500"
2024-04-30,"246,000","249,000","239,500","240,500","238,400.00","241,030.00","181,341.67","82,886","20,107,003,000"
2024-04-29,"249,000","256,000","241,000","244,000","235,100.00","238,860.00","180,652.50","195,548","48,509,073,500"
2024-04-26,"236,500","243,000","233,000","239,500","232,200.00","237,085.00","179,927.50","142,508","34,009,878,000"
2024-04-25,"233,000","242,000","228,000","228,000","231,900.00","234,705.00","179,125.00","123,481","28,716,073,000"
2024-04-24,"233,000","245,000","232,500","240,000","235,500.00","232,685.00","178,385.83","285,409","68,378,132,500"
2024-04-23,"234,000","235,500","218,500","224,000","236,300.00","229,910.00","177,604.17","196,065","43,972,395,000"
2024-04-22,"231,000","236,500","221,000","229,500","241,100.00","227,955.00","176,964.17","232,520","52,663,568,000"
2024-04-19,"239,500","240,000","224,000","238,000","247,200.00","226,015.00","176,319.17","306,684","71,275,466,000"
2024-04-18,"242,000","249,000","238,500","246,000","254,200.00","223,640.00","175,647.50","176,497","43,113,797,000"
2024-04-17,"251,000","253,500","241,500","244,000","256,400.00","220,945.00","174,901.67","192,742","47,725,508,500"
2024-04-16,"254,000","259,000","239,000","248,000","257,900.00","217,805.00","174,105.00","337,075","82,812,331,500"
2024-04-15,"268,000","273,000","253,500","260,000","256,300.00","214,520.00","173,316.67","291,922","76,099,198,500"
2024-04-12,"261,000","281,000","261,000","273,000","253,400.00","210,445.00","172,418.33","480,277","130,832,255,500"
2024-04-11,"244,000","263,000","240,000","257,000","250,600.00","205,515.00","171,459.17","292,388","73,907,097,000"
2024-04-09,"253,000","261,500","243,000","251,500","242,300.00","201,810.00","170,649.17","554,828","139,233,032,000"
2024-04-08,"252,000","254,000","237,000","240,000","231,520.00","198,495.00","169,850.00","263,788","64,441,317,000"
2024-04-05,"252,000","255,500","239,000","245,500","222,940.00","195,745.00","169,192.50","418,559","103,040,559,500"
2024-04-04,"222,500","266,000","220,000","259,000","215,540.00","193,375.00","168,428.33","1,335,396","329,445,790,000"
2024-04-03,"193,000","216,000","189,900","215,500","202,120.00","190,280.00","167,495.00","375,487","77,530,604,700"
2024-04-02,"199,000","205,000","196,200","197,600","196,540.00","189,805.00","166,847.50","195,575","39,053,003,200"
2024-04-01,"210,000","210,000","196,800","197,100","193,920.00","190,150.00","166,357.50","246,344","49,530,025,500"
2024-03-29,"193,000","218,500","188,900","208,500","191,480.00","190,570.00","165,855.83","817,307","171,085,666,300"
2024-03-28,"187,800","195,100","185,600","191,900","187,920.00","190,370.00","165,270.83","247,298","46,965,254,200"
2024-03-27,"183,800","191,100","181,000","187,600","187,640.00","190,875.00","164,839.17","126,386","23,462,903,700"
2024-03-26,"185,300","188,500","183,000","184,500","188,540.00","190,500.00","164,411.67","164,882","30,563,225,300"
2024-03-25,"191,000","194,000","183,200","184,900","187,880.00","190,415.00","164,010.83","120,589","22,543,087,800"
2024-03-22,"191,000","191,000","184,100","190,700","187,360.00","189,920.00","163,607.50","136,364","25,603,219,500"
2024-03-21,"197,700","201,500","186,900","190,500","184,920.00","189,180.00","163,130.83","296,226","57,488,951,900"
2024-03-20,"185,000","195,200","177,500","192,100","181,700.00","188,290.00","162,717.50","331,690","62,482,238,000"
2024-03-19,"180,000","183,400","176,500","181,200","179,860.00","187,305.00","162,308.33","97,741","17,588,462,200"
2024-03-18,"178,500","184,000","176,400","182,300","180,660.00","186,760.00","162,009.17","118,012","21,437,754,900"
2024-03-15,"172,000","178,500","171,600","178,500","181,200.00","186,545.00","161,760.00","142,620","25,059,266,400"
2024-03-14,"180,300","181,000","174,400","174,400","185,120.00","186,925.00","161,543.33","242,960","42,738,445,100"
2024-03-13,"188,400","193,500","180,100","182,900","189,660.00","187,630.00","161,364.17","249,798","46,565,287,300"
2024-03-12,"185,000","186,900","183,000","185,200","194,280.00","187,615.00","161,152.50","140,332","25,905,733,700"
2024-03-11,"189,100","189,800","182,900","185,000","198,140.00","187,410.00","160,904.17","275,147","50,998,796,500"
2024-03-08,"202,000","206,000","196,800","198,100","202,240.00","187,005.00","160,671.67","148,393","29,743,439,600"
2024-03-07,"205,000","205,500","194,200","197,100","203,520.00","186,050.00","160,386.67","176,425","35,119,639,000"
2024-03-06,"200,500","207,000","199,700","206,000","204,500.00","184,600.00","160,140.83","101,924","20,746,328,500"
2024-03-05,"205,000","207,000","198,700","204,500","199,320.00","183,100.00","159,825.83","146,355","29,639,461,000"
2024-03-04,"211,500","217,500","202,000","205,500","194,980.00","181,150.00","159,537.50","295,571","61,926,992,000"
2024-02-29,"199,900","214,500","195,300","204,500","188,880.00","179,470.00","159,333.33","431,272","89,030,169,800"
2024-02-28,"181,900","204,500","179,600","202,000","183,160.00","178,445.00","159,040.83","483,504","94,013,040,300"
2024-02-27,"183,100","185,600","177,100","180,100","177,300.00","177,095.00","158,763.33","125,343","22,723,187,900"
2024-02-26,"173,100","184,600","171,900","182,800","175,760.00","177,090.00","158,580.83","198,155","35,860,894,800"
2024-02-23,"179,000","179,600","170,400","175,000","173,260.00","177,480.00","158,345.00","154,011","26,649,222,600"
2024-02-22,"178,000","178,900","173,200","175,900","173,860.00","178,405.00","158,178.33","109,900","19,328,945,500"
2024-02-21,"168,900","172,700","167,300","172,700","175,900.00","179,170.00","158,110.83","113,569","19,333,571,400"
2024-02-20,"171,500","175,300","169,700","172,400","179,060.00","180,330.00","158,024.17","123,681","21,247,046,800"
2024-02-19,"174,500","177,600","169,000","170,300","181,100.00","180,905.00","157,958.33","223,548","38,380,544,400"
2024-02-16,"185,000","186,100","176,500","178,000","183,260.00","180,490.00","157,939.17","179,641","32,148,738,500"
2024-02-15,"191,200","198,000","184,000","186,100","183,040.00","179,415.00","157,836.67","209,375","39,676,770,800"
2024-02-14,"181,700","191,300","181,400","188,500","181,620.00","177,555.00","157,645.00","248,624","46,592,950,400"
2024-02-13,"187,800","189,500","180,800","182,600","177,540.00","175,825.00","157,386.67","307,111","56,513,277,800"
2024-02-08,"179,000","185,900","176,300","181,100","176,220.00","174,565.00","157,111.67","211,292","38,581,627,300"
2024-02-07,"176,500","179,500","173,900","176,900","173,100.00","173,570.00","156,895.83","102,692","18,088,274,000"
2024-02-06,"170,500","179,100","167,800","179,000","172,100.00","172,575.00","156,673.33","165,029","28,783,609,000"
2024-02-05,"176,000","176,000","165,900","168,100","173,100.00","171,330.00","156,454.17","121,913","20,642,785,600"
2024-02-02,"167,500","177,800","164,000","176,000","174,480.00","170,800.00","156,325.83","173,539","29,931,905,800"
2024-02-01,"171,700","175,100","163,400","165,500","175,280.00","169,815.00","156,141.67","195,420","32,684,293,200"
2024-01-31,"179,500","182,000","170,000","171,900","180,300.00","168,915.00","156,139.17","138,550","24,195,215,200"
2024-01-30,"176,400","184,700","173,600","184,000","184,620.00","167,650.00","156,139.17","150,407","26,971,618,700"
2024-01-29,"179,800","181,400","171,900","175,000","186,060.00","166,080.00","155,888.33","167,253","29,431,826,400"
2024-01-26,"185,900","189,400","179,500","180,000","190,240.00","164,975.00","155,752.50","229,394","42,038,062,800"
2024-01-25,"193,700","201,500","190,000","190,600","191,020.00","163,725.00","155,585.83","203,433","39,637,754,700"
2024-01-24,"191,300","193,700","186,800","193,500","185,300.00","161,620.00","155,340.00","150,649","28,761,740,600"
2024-01-23,"194,100","198,400","189,200","191,200","177,900.00","159,410.00","155,028.33","157,595","30,518,158,500"
2024-01-22,"194,000","207,500","191,000","195,900","169,440.00","157,325.00","154,458.33","656,148","130,055,726,600"
2024-01-19,"166,000","185,000","165,900","183,900","161,040.00","154,930.00","153,869.17","616,517","108,429,692,800"
2024-01-18,"156,500","162,000","153,900","162,000","155,740.00","153,015.00","153,375.83","126,066","20,074,220,800"
2024-01-17,"155,400","159,800","153,500","156,500","155,580.00","152,315.00","153,065.00","204,992","32,136,899,600"
2024-01-16,"153,900","155,800","147,700","148,900","155,680.00","151,820.00","152,830.00","93,098","14,107,007,800"
2024-01-15,"156,800","158,500","152,500","153,900","156,720.00","151,690.00","152,642.50","58,840","9,081,397,100"
2024-01-12,"161,500","162,900","156,800","157,400","157,440.00","151,180.00","152,430.00","62,122","9,876,090,500"
2024-01-11,"158,400","162,900","158,400","161,200","157,220.00","150,425.00","152,175.00","155,178","24,989,284,100"
2024-01-10,"155,200","157,500","152,400","157,000","154,480.00","149,480.00","151,876.67","82,996","12,932,882,100"
2024-01-09,"161,100","162,500","154,100","154,100","152,400.00","148,675.00","151,544.17","131,208","20,702,813,200"
2024-01-08,"156,200","157,800","153,800","157,500","152,100.00","147,885.00","151,177.50","72,438","11,303,729,100"
2024-01-05,"147,500","157,900","146,000","156,300","151,180.00","146,995.00","150,784.17","224,220","34,410,997,100"
2024-01-04,"143,200","148,800","143,100","147,500","150,920.00","145,965.00","150,368.33","57,532","8,431,397,800"
2024-01-03,"149,300","149,900","143,700","146,600","151,120.00","145,885.00","150,040.00","139,948","20,469,290,700"
2024-01-02,"152,900","154,300","152,000","152,600","151,660.00","146,030.00","149,735.00","88,236","13,483,686,300"
2023-12-28,"153,800","154,200","150,600","152,900","151,040.00","146,290.00","149,391.67","109,628","16,701,445,100"
2023-12-27,"148,500","155,000","147,400","155,000","150,060.00","146,575.00","149,084.17","153,995","23,366,110,100"
2023-12-26,"149,200","149,200","144,000","148,500","148,180.00","146,940.00","148,750.83","125,893","18,422,660,300"
2023-12-22,"151,000","151,500","148,400","149,300","148,080.00","147,425.00","148,445.83","91,180","13,632,905,200"
2023-12-21,"146,100","149,500","146,100","149,500","147,540.00","147,920.00","148,136.67","96,772","14,352,192,100"
2023-12-20,"146,400","148,500","145,800","148,000","146,900.00","148,425.00","147,786.67","100,032","14,740,397,000"
2023-12-19,"147,500","148,800","145,100","145,600","146,040.00","149,490.00","147,426.67","75,693","11,108,554,500"
2023-12-18,"148,400","152,000","147,400","148,000","145,380.00","150,245.00","147,093.33","147,359","22,021,291,500"
2023-12-15,"146,300","147,400","145,700","146,600","144,240.00","150,850.00","146,732.50","86,328","12,638,862,700"
2023-12-14,"145,500","146,300","143,400","146,300","143,100.00","151,400.00","146,370.00","108,400","15,722,344,800"
2023-12-13,"143,300","145,500","142,200","143,700","141,500.00","152,085.00","146,013.33","120,010","17,277,223,100"
2023-12-12,"143,900","144,800","140,500","142,300","140,700.00","153,000.00","145,686.67","77,713","11,063,076,300"
2023-12-11,"142,900","142,900","139,800","142,300","139,380.00","153,805.00","145,368.33","69,235","9,775,943,400"
2023-12-08,"142,600","143,800","139,500","140,900","140,100.00","154,645.00","145,030.00","88,639","12,530,404,600"
2023-12-07,"137,800","138,700","136,000","138,300","141,820.00","155,935.00","144,711.67","105,694","14,515,106,800"
2023-12-06,"137,600","139,700","135,800","139,700","145,720.00","157,140.00","144,385.00","131,466","18,142,653,900"
2023-12-05,"144,800","145,900","133,600","135,700","149,500.00","158,360.00","144,062.50","357,889","49,284,412,300"
2023-12-04,"149,500","149,700","144,000","145,900","154,820.00","159,775.00","143,744.17","177,691","25,895,867,500"
2023-12-01,"156,200","157,700","149,500","149,500","157,280.00","160,920.00","143,360.00","250,094","37,933,847,600"
2023-11-30,"159,200","161,000","157,200","157,800","159,220.00","161,335.00","142,895.00","117,521","18,633,343,700"
2023-11-29,"162,000","162,000","158,200","158,600","159,580.00","161,295.00","142,346.67","91,148","14,548,439,000"
2023-11-28,"159,200","162,300","155,800","162,300","161,720.00","160,525.00","141,786.67","140,862","22,448,207,600"
2023-11-27,"158,200","161,400","156,000","158,200","161,400.00","159,375.00","141,201.67","85,604","13,581,733,500"
2023-11-24,"159,700","161,300","158,600","159,200","161,780.00","158,775.00","140,655.00","76,992","12,286,131,200"
2023-11-23,"168,300","169,400","158,900","159,600","161,460.00","158,175.00","140,099.17","178,516","29,103,258,400"
2023-11-22,"158,200","169,400","157,200","169,300","161,540.00","157,800.00","139,546.67","314,782","52,426,000,500"
2023-11-21,"161,700","165,800","160,000","160,700","160,080.00","157,205.00","138,890.00","165,480","26,898,153,300"
2023-11-20,"157,000","162,000","152,500","160,100","159,620.00","156,995.00","138,325.83","112,789","17,808,219,000"
2023-11-17,"160,900","164,400","157,000","157,600","159,420.00","156,410.00","137,719.17","171,336","27,509,229,200"
2023-11-16,"161,800","162,300","156,100","160,000","161,240.00","156,200.00","137,140.00","160,703","25,454,028,800"
2023-11-15,"165,100","166,400","160,400","162,000","161,720.00","155,810.00","136,546.67","204,234","33,418,817,700"
2023-11-14,"156,800","158,400","149,300","158,400","162,140.00","155,605.00","135,930.00","327,518","50,041,858,400"
2023-11-13,"162,700","166,700","155,700","159,100","163,260.00","155,675.00","135,281.67","183,723","29,502,359,600"
2023-11-10,"160,000","169,700","160,000","166,700","165,200.00","155,500.00","134,617.50","173,634","28,857,217,300"
2023-11-09,"166,000","167,600","160,200","162,400","163,420.00","155,220.00","133,902.50","109,321","17,821,117,900"
2023-11-08,"168,000","173,000","162,100","164,100","162,340.00","154,790.00","133,242.50","246,466","41,551,020,100"
2023-11-07,"167,300","175,400","163,500","164,000","158,160.00","153,935.00","132,584.17","284,559","47,990,306,900"
2023-11-06,"161,900","169,000","158,900","168,800","153,220.00","152,625.00","131,920.83","236,655","39,130,671,600"
2023-11-03,"157,100","159,300","155,000","157,800","148,700.00","151,125.00","131,219.17","119,435","18,845,403,200"
2023-11-02,"148,200","158,500","148,100","157,000","146,580.00","150,080.00","130,621.67","217,525","33,706,855,800"
2023-11-01,"141,300","146,100","141,300","143,200","145,600.00","149,145.00","130,055.83","101,956","14,687,610,500"
2023-10-31,"147,500","148,600","139,000","139,300","148,440.00","148,990.00","129,587.50","196,386","27,931,752,700"
2023-10-30,"146,500","148,200","144,700","146,200","151,880.00","148,840.00","129,169.17","72,805","10,649,334,000"
2023-10-27,"154,800","154,900","144,800","147,200","152,320.00","148,350.00","128,676.67","156,996","23,290,013,500"
2023-10-26,"148,000","154,700","148,000","152,100","153,560.00","147,815.00","128,175.00","138,979","21,097,103,000"
2023-10-25,"157,500","160,600","155,000","157,400","153,580.00","146,885.00","127,630.83","149,842","23,663,050,000"
2023-10-24,"150,700","157,000","149,500","156,500","153,680.00","146,060.00","127,054.17","156,703","24,026,070,100"
2023-10-23,"153,600","155,300","147,500","148,400","154,340.00","145,385.00","126,450.83","121,665","18,298,293,300"
2023-10-20,"150,500","156,000","148,800","153,400","155,780.00","145,230.00","125,915.83","164,336","25,005,332,000"
2023-10-19,"154,400","159,200","151,900","152,200","157,320.00","145,180.00","125,372.50","137,824","21,244,797,200"
2023-10-18,"156,100","161,100","155,000","157,900","157,640.00","145,195.00","124,783.33","129,598","20,459,186,500"
2023-10-17,"158,000","162,000","153,000","159,800","155,460.00","144,945.00","124,160.00","183,413","29,104,550,500"
2023-10-16,"160,700","162,700","153,600","155,600","151,060.00","144,830.00","123,520.00","226,853","35,690,874,900"
2023-10-13,"152,600","165,800","152,500","161,100","147,700.00","144,820.00","122,937.50","478,215","77,504,654,600"
2023-10-12,"148,900","154,200","147,800","153,800","142,860.00","144,620.00","122,313.33","206,452","31,313,084,200"
2023-10-11,"141,700","147,300","140,200","147,000","139,760.00","145,125.00","121,745.00","194,125","28,043,476,000"
2023-10-10,"140,000","141,300","135,700","137,800","138,380.00","146,155.00","121,245.83","107,680","14,878,393,500"
2023-10-06,"138,400","140,000","136,300","138,800","138,080.00","147,675.00","120,844.17","60,931","8,402,276,100"
2023-10-05,"141,800","142,500","136,100","136,900","137,600.00","149,230.00","120,411.67","108,345","15,123,087,800"
2023-10-04,"137,800","144,500","136,800","138,300","137,520.00","151,435.00","120,000.00","112,074","15,590,334,800"
2023-09-27,"135,000","141,100","134,300","140,100","136,560.00","152,990.00","119,560.83","102,701","14,170,848,000"
2023-09-26,"137,400","138,300","134,100","136,300","136,720.00","154,420.00","119,119.17","76,782","10,433,791,200"
2023-09-25,"135,300","137,000","132,800","136,400","138,060.00","155,515.00","118,732.50","97,747","13,252,360,300"
2023-09-22,"131,100","137,000","131,100","136,500","139,840.00","156,420.00","118,325.00","155,682","21,028,018,000"
2023-09-21,"137,300","139,400","132,600","133,500","143,020.00","157,345.00","117,930.00","323,718","43,710,523,500"
2023-09-20,"142,000","143,800","140,100","140,900","146,820.00","159,060.00","117,558.33","142,667","20,180,763,900"
2023-09-19,"146,200","148,800","142,700","143,000","149,220.00","160,130.00","117,091.67","111,583","16,175,706,800"
2023-09-18,"147,800","147,800","142,700","145,300","152,120.00","161,205.00","116,606.67","296,606","42,845,840,100"
2023-09-15,"153,300","153,900","148,800","152,400","154,140.00","162,340.00","116,070.00","154,279","23,359,953,000"
2023-09-14,"154,800","158,400","151,600","152,500","155,080.00","163,005.00","115,479.17","269,087","41,397,244,500"
2023-09-13,"163,600","166,500","152,000","152,900","157,360.00","163,535.00","114,840.83","394,619","62,591,829,600"
2023-09-12,"155,000","159,700","153,500","157,500","160,300.00","163,765.00","114,199.17","140,612","22,076,336,500"
2023-09-11,"156,700","156,700","152,800","155,400","162,440.00","163,370.00","113,513.33","158,595","24,543,880,300"
2023-09-08,"162,300","163,100","154,100","157,100","165,340.00","163,360.00","112,860.00","296,442","46,311,448,500"
2023-09-07,"165,500","165,700","160,800","163,900","170,120.00","163,015.00","112,186.67","204,270","33,318,606,500"
2023-09-06,"169,400","171,800","166,600","167,600","171,220.00","162,455.00","111,429.17","170,933","28,950,130,900"
2023-09-05,"170,300","171,500","164,500","168,200","171,440.00","161,710.00","110,618.33","199,774","33,523,708,900"
2023-09-04,"182,600","182,900","169,400","169,900","169,440.00","160,995.00","109,785.83","339,708","58,878,335,700"
2023-09-01,"171,000","182,400","168,700","181,000","166,360.00","160,760.00","108,968.33","444,194","79,047,679,700"
2023-08-31,"168,900","173,000","167,600","169,400","161,160.00","160,305.00","108,055.00","162,707","27,646,234,300"
2023-08-30,"162,500","172,000","162,500","168,700","160,840.00","159,530.00","107,255.00","354,085","59,551,666,000"
2023-08-29,"154,800","158,700","154,500","158,200","159,560.00","159,030.00","106,450.00","184,413","28,929,880,700"
2023-08-28,"155,900","157,000","152,000","154,500","160,820.00","159,120.00","105,748.33","173,281","26,688,562,400"
2023-08-25,"161,100","162,600","150,700","155,000","163,520.00","159,450.00","105,088.33","404,496","63,194,814,500"
2023-08-24,"170,000","181,700","166,400","167,800","165,660.00","159,505.00","104,409.17","804,936","140,458,128,500"
2023-08-23,"163,300","170,400","160,800","162,300","164,720.00","157,255.00","103,637.50","273,029","44,921,189,400"
2023-08-22,"175,000","179,000","162,800","164,500","163,760.00","155,400.00","102,921.67","456,332","77,424,450,000"
2023-08-21,"169,600","170,500","165,100","168,000","160,780.00","153,410.00","102,182.50","247,670","41,632,377,600"
2023-08-18,"159,600","171,900","158,500","165,700","158,220.00","151,245.00","101,417.50","471,862","78,751,212,700"
2023-08-17,"155,900","166,100","151,400","163,100","155,120.00","149,375.00","100,677.50","365,751","59,206,427,600"
2023-08-16,"155,000","162,100","154,100","157,500","153,040.00","147,540.00","99,944.17","442,477","69,795,971,800"
2023-08-14,"151,200","154,700","147,800","149,600","152,080.00","146,085.00","99,272.50","152,770","22,896,668,000"
2023-08-11,"149,900","156,800","149,900","155,200","152,940.00","144,945.00","98,673.33","278,243","43,058,825,100"
2023-08-10,"148,100","151,800","143,800","150,200","154,940.00","143,455.00","98,032.50","323,524","47,590,922,200"
2023-08-09,"143,000","155,800","143,000","152,700","159,280.00","141,800.00","97,444.17","205,292","31,098,872,900"
2023-08-08,"156,100","160,200","150,400","152,700","159,520.00","139,670.00","96,820.83","284,415","44,048,165,900"
2023-08-07,"162,700","163,000","151,400","153,900","160,720.00","137,550.00","96,217.50","405,863","63,589,753,000"
2023-08-04,"168,900","171,100","160,600","165,200","161,940.00","135,175.00","95,581.67","329,944","54,470,026,900"
2023-08-03,"153,600","176,000","147,900","171,900","161,120.00","132,320.00","94,860.83","872,197","141,030,188,700"
2023-08-02,"167,000","176,700","151,000","153,900","157,960.00","129,225.00","94,105.00","740,929","121,819,538,500"
2023-08-01,"158,600","162,500","151,500","158,700","151,740.00","127,100.00","93,511.67","330,893","51,795,536,100"
2023-07-31,"161,500","171,200","153,900","160,000","145,040.00","124,965.00","92,850.00","533,142","86,484,228,500"
2023-07-28,"156,100","161,900","148,100","161,100","137,980.00","122,715.00","92,128.33","710,960","110,740,621,600"
2023-07-27,"122,600","159,600","122,500","156,100","130,700.00","120,255.00","91,410.83","1,196,881","176,372,761,900"
2023-07-26,"126,000","129,400","120,800","122,800","125,140.00","118,060.00","90,749.17","275,982","34,683,752,400"
2023-07-25,"125,000","129,600","122,400","125,200","125,860.00","117,295.00","90,352.50","158,034","19,758,769,800"
2023-07-24,"123,400","125,000","121,100","124,700","126,500.00","116,275.00","89,932.50","149,189","18,366,758,900"
2023-07-21,"124,100","125,300","121,600","124,700","126,920.00","115,320.00","89,514.17","183,406","22,614,514,000"
2023-07-20,"124,900","129,900","123,000","128,300","127,060.00","114,320.00","89,115.83","180,648","22,906,413,000"
2023-07-19,"130,300","132,500","122,000","126,400","124,820.00","113,060.00","88,650.83","331,265","41,483,184,800"
2023-07-18,"128,400","133,200","126,100","128,400","121,560.00","111,915.00","88,193.33","218,371","28,167,393,800"
2023-07-17,"123,200","130,500","122,000","126,800","117,940.00","110,720.00","87,708.33","279,489","35,394,846,000"
2023-07-14,"120,500","132,500","117,300","125,400","113,860.00","109,585.00","87,227.50","670,346","83,903,367,600"
2023-07-13,"111,800","119,000","111,400","117,100","110,400.00","108,400.00","86,754.17","362,863","41,877,631,800"
2023-07-12,"110,400","110,400","107,500","110,100","108,980.00","107,680.00","86,345.83","92,831","10,128,095,600"
2023-07-11,"107,600","110,400","105,800","110,300","109,240.00","107,130.00","85,996.67","123,305","13,403,530,500"
2023-07-10,"108,100","108,100","104,200","106,400","110,380.00","106,665.00","85,645.00","169,895","18,054,122,400"
2023-07-07,"110,000","110,100","107,000","108,100","112,100.00","106,220.00","85,335.83","131,160","14,191,859,100"
2023-07-06,"110,000","112,300","108,900","110,000","112,860.00","105,805.00","85,008.33","186,937","20,630,571,000"
2023-07-05,"115,600","115,600","109,900","111,400","113,300.00","104,990.00","84,663.33","295,108","33,083,163,000"
2023-07-04,"114,700","116,700","112,700","116,000","112,520.00","104,020.00","84,315.00","137,053","15,765,151,000"
2023-07-03,"112,900","117,600","112,400","115,000","110,280.00","102,790.00","83,923.33","229,444","26,566,095,300"
2023-06-30,"112,300","113,400","108,500","111,900","108,400.00","101,645.00","83,525.00","143,629","15,949,248,300"
2023-06-29,"109,000","114,100","107,800","112,200","106,960.00","100,680.00","83,155.83","267,344","29,768,224,000"
2023-06-28,"105,700","109,200","105,700","107,500","105,140.00","99,695.00","82,757.50","199,854","21,582,665,900"
2023-06-27,"105,600","106,000","103,400","104,800","104,340.00","98,985.00","82,403.33","93,688","9,801,380,700"
2023-06-26,"105,500","107,100","102,500","105,600","104,280.00","98,270.00","82,085.00","85,718","8,988,109,300"
2023-06-23,"103,100","108,000","102,700","104,700","103,980.00","97,640.00","81,787.50","163,583","17,306,135,500"
2023-06-22,"101,900","104,100","101,900","103,100","103,380.00","96,770.00","81,515.83","90,273","9,312,635,800"
2023-06-21,"105,000","108,000","102,600","103,500","103,300.00","96,020.00","81,248.33","200,668","21,132,134,900"
2023-06-20,"104,200","104,700","101,500","104,500","102,420.00","95,285.00","80,952.50","129,633","13,403,466,000"
2023-06-19,"102,000","107,000","100,300","104,100","101,720.00","94,460.00","80,660.00","190,143","19,864,565,600"
2023-06-16,"102,800","103,000","101,600","101,700","100,400.00","93,285.00","80,354.17","92,250","9,436,182,000"
2023-06-15,"99,700","103,000","98,000","102,700","100,020.00","92,170.00","80,059.17","227,154","22,927,793,900"
2023-06-14,"101,000","101,100","97,700","99,100","98,220.00","91,080.00","79,764.17","149,594","14,807,354,700"
2023-06-13,"98,500","102,700","96,800","101,000","96,800.00","90,285.00","79,496.67","284,753","28,460,642,400"
2023-06-12,"98,700","100,000","96,500","97,500","94,880.00","89,490.00","79,220.83","159,448","15,586,836,900"
2023-06-09,"95,000","100,100","93,200","99,800","93,800.00","88,835.00","78,989.17","252,106","24,779,699,600"
2023-06-08,"91,600","94,500","90,600","93,700","92,360.00","88,075.00","78,720.00","96,149","8,960,216,600"
