시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"95,800","100,800","95,600","98,500","93,560.00","85,610.00","70,078.75","817,060","80,104,541,700"
2024-06-18,"90,000","93,800","90,000","93,400","91,820.00","84,775.00","69,673.33","577,873","53,456,496,588"
2024-06-17,"90,100","91,800","88,000","90,700","90,760.00","84,145.00","69,312.50","317,838","28,770,796,100"
2024-06-14,"93,800","95,300","91,100","91,400","90,580.00","83,725.00","68,982.50","535,513","49,619,619,900"
2024-06-13,"90,300","97,000","90,100","93,800","89,800.00","83,200.00","68,644.17","1,124,232","106,329,659,446"
2024-06-12,"87,600","92,100","87,600","89,800","86,400.00","82,460.00","68,281.67","494,368","44,343,263,300"
2024-06-11,"89,400","90,400","87,200","88,100","83,900.00","82,115.00","67,949.58","460,303","40,771,106,800"
2024-06-10,"88,100","103,800","88,100","89,800","81,920.00","81,730.00","67,631.67","2,089,240","197,168,858,300"
2024-06-07,"79,100","87,500","78,600","87,500","79,480.00","81,145.00","67,296.67","789,388","67,411,767,640"
2024-06-05,"77,000","79,000","76,100","76,800","77,860.00","80,700.00","66,975.42","370,954","28,669,908,602"
2024-06-04,"76,500","78,200","76,000","77,300","78,720.00","80,705.00","66,741.67","282,223","21,628,146,500"
2024-06-03,"77,700","78,400","75,200","78,200","79,920.00","80,580.00","66,502.08","246,463","19,036,378,000"
2024-05-31,"80,200","80,600","74,200","77,600","81,240.00","80,420.00","66,264.17","1,214,635","93,509,153,134"
2024-05-30,"80,000","80,800","78,600","79,400","82,800.00","80,365.00","66,026.25","308,901","24,632,098,140"
2024-05-29,"82,400","83,300","80,500","81,100","83,580.00","80,335.00","65,789.58","313,725","25,611,672,700"
2024-05-28,"83,900","85,400","82,400","83,300","83,760.00","80,310.00","65,530.00","174,597","14,585,316,000"
2024-05-27,"86,000","87,000","84,500","84,800","83,460.00","80,035.00","65,254.17","302,563","25,936,092,600"
2024-05-24,"82,000","85,900","82,000","85,400","82,660.00","80,070.00","64,957.08","533,432","45,255,192,056"
2024-05-23,"81,100","84,700","81,100","83,300","82,040.00","79,930.00","64,645.83","453,375","37,840,397,100"
2024-05-22,"81,300","83,500","80,500","82,000","81,560.00","79,750.00","64,360.00","234,874","19,335,350,700"
2024-05-21,"80,900","82,900","80,100","81,800","80,960.00","79,455.00","64,085.42","422,030","34,566,594,500"
2024-05-20,"83,600","84,500","80,500","80,800","81,180.00","79,550.00","63,814.58","380,155","31,038,935,700"
2024-05-17,"81,800","83,800","81,600","82,300","81,100.00","79,450.00","63,533.75","376,538","31,047,547,200"
2024-05-16,"80,500","82,200","80,300","80,900","80,260.00","79,335.00","63,252.92","393,954","32,008,201,200"
2024-05-14,"81,700","82,300","78,700","79,000","79,800.00","79,280.00","62,990.00","252,588","20,077,053,700"
2024-05-13,"80,400","83,000","80,400","82,900","79,380.00","79,225.00","62,737.08","262,893","21,619,267,600"
2024-05-10,"79,600","81,900","78,300","80,400","77,760.00","78,735.00","62,448.75","244,707","19,650,636,100"
2024-05-09,"78,500","79,400","77,300","78,100","76,680.00","78,420.00","62,182.50","223,962","17,523,371,600"
2024-05-08,"78,300","79,500","77,300","78,600","76,360.00","78,210.00","61,933.75","237,427","18,680,578,428"
2024-05-07,"76,300","79,700","75,500","76,900","76,400.00","78,055.00","61,677.50","387,282","30,086,814,700"
2024-05-03,"76,000","76,400","74,400","74,800","77,140.00","78,110.00","61,427.50","201,674","15,172,178,100"
2024-05-02,"75,200","76,100","73,400","75,000","77,740.00","78,195.00","61,199.58","398,668","29,875,408,640"
2024-04-30,"78,300","79,100","76,000","76,500","79,840.00","78,305.00","60,967.92","411,298","31,832,910,700"
2024-04-29,"81,500","82,500","78,300","78,800","81,060.00","78,255.00","60,707.50","242,909","19,237,457,300"
2024-04-26,"78,900","81,600","78,300","80,600","81,240.00","78,265.00","60,425.42","241,688","19,359,972,700"
2024-04-25,"82,700","85,500","77,400","77,800","80,340.00","78,165.00","60,111.25","986,781","79,814,938,400"
2024-04-24,"83,400","86,500","82,600","85,500","81,520.00","78,240.00","59,817.50","665,650","56,490,833,200"
2024-04-23,"80,100","82,900","79,700","82,600","80,180.00","77,900.00","59,465.00","668,442","54,730,340,600"
2024-04-22,"77,100","81,500","75,600","79,700","79,660.00","77,605.00","59,128.33","553,461","43,357,303,500"
2024-04-19,"82,000","83,400","74,900","76,100","79,680.00","77,620.00","58,822.08","732,716","56,697,931,700"
2024-04-18,"78,800","83,900","78,300","83,700","80,040.00","77,665.00","58,552.50","568,657","46,775,437,200"
2024-04-17,"80,100","81,100","78,700","78,800","77,920.00","76,950.00","58,210.42","462,642","37,010,279,510"
2024-04-16,"79,300","82,000","78,900","80,000","76,980.00","76,445.00","57,906.67","1,121,320","89,979,114,450"
2024-04-15,"77,700","79,900","76,200","79,800","75,760.00","75,895.00","57,595.83","609,187","47,917,040,950"
2024-04-12,"72,700","79,300","72,300","77,900","74,900.00","75,335.00","57,297.08","707,851","54,934,734,900"
2024-04-11,"71,800","74,000","70,700","73,100","74,920.00","74,905.00","57,018.75","501,072","36,435,515,700"
2024-04-09,"74,400","75,000","72,800","74,100","75,600.00","74,765.00","56,782.92","310,139","22,969,954,600"
2024-04-08,"74,800","76,300","73,700","73,900","76,220.00","74,655.00","56,535.42","319,864","23,907,580,900"
2024-04-05,"75,700","77,100","73,100","75,500","76,540.00","74,595.00","56,291.67","391,809","29,624,964,500"
2024-04-04,"77,900","78,200","75,900","78,000","77,240.00","74,570.00","56,034.17","404,073","31,273,863,300"
2024-04-03,"75,200","77,700","74,400","76,500","77,360.00","74,285.00","55,746.67","354,422","27,179,335,500"
2024-04-02,"75,100","77,600","71,500","77,200","77,920.00","74,030.00","55,470.83","568,844","42,902,303,800"
2024-04-01,"79,900","81,600","75,100","75,500","78,220.00","73,705.00","55,183.33","421,752","32,629,184,500"
2024-03-29,"78,700","79,600","77,900","79,000","78,460.00","73,440.00","54,910.42","209,727","16,510,908,100"
2024-03-28,"78,600","79,900","77,900","78,600","78,660.00","72,985.00","54,597.08","407,084","32,121,672,000"
2024-03-27,"77,900","80,100","77,700","79,300","78,340.00","72,455.00","54,295.83","563,543","44,759,773,800"
2024-03-26,"77,300","79,800","76,200","78,700","76,360.00","71,755.00","53,990.42","482,942","37,980,633,500"
2024-03-25,"79,300","79,300","75,400","76,700","74,360.00","71,185.00","53,695.83","417,506","32,169,103,700"
2024-03-22,"77,000","81,000","77,000","80,000","72,820.00","70,815.00","53,413.75","1,100,967","87,731,751,915"
2024-03-21,"70,900","77,000","70,300","77,000","70,540.00","70,460.00","53,097.92","897,164","67,587,007,300"
2024-03-20,"69,700","70,800","68,600","69,400","69,000.00","70,075.00","52,816.25","329,996","22,854,247,700"
2024-03-19,"68,200","70,000","68,200","68,700","69,180.00","70,040.00","52,594.58","271,514","18,714,071,000"
2024-03-18,"69,000","69,900","68,300","69,000","69,820.00","70,085.00","52,370.00","264,489","18,228,912,400"
2024-03-15,"69,100","69,400","66,200","68,600","70,560.00","69,910.00","52,147.08","677,637","46,216,015,600"
2024-03-14,"71,000","71,400","68,300","69,300","71,840.00","69,600.00","51,920.42","623,265","43,136,147,500"
2024-03-13,"72,600","72,700","70,000","70,300","72,440.00","69,305.00","51,686.25","627,416","44,576,635,635"
2024-03-12,"73,400","73,700","70,700","71,900","72,660.00","69,075.00","51,437.08","879,805","63,144,954,800"
2024-03-11,"72,100","74,700","72,000","72,700","72,420.00","68,740.00","51,172.50","445,029","32,537,553,824"
2024-03-08,"73,100","75,300","73,000","75,000","71,920.00","68,415.00","50,914.58","788,336","58,857,994,000"
2024-03-07,"71,800","72,700","70,700","72,300","70,900.00","67,785.00","50,649.17","478,103","34,427,041,500"
2024-03-06,"70,500","72,400","69,600","71,400","70,040.00","67,135.00","50,410.83","384,903","27,378,547,500"
2024-03-05,"69,900","71,500","69,500","70,700","68,820.00","66,540.00","50,182.08","513,898","36,408,045,237"
2024-03-04,"70,500","71,000","69,100","70,200","68,140.00","65,685.00","49,961.25","600,191","42,198,517,100"
2024-02-29,"68,600","70,000","66,500","69,900","67,960.00","64,770.00","49,747.50","851,921","58,381,254,700"
2024-02-28,"65,900","69,100","65,300","68,000","68,560.00","63,850.00","49,540.83","624,618","42,248,382,425"
2024-02-27,"68,500","68,500","64,200","65,300","68,820.00","62,980.00","49,354.58","662,694","43,199,972,900"
2024-02-26,"69,200","70,000","66,000","67,300","69,500.00","62,230.00","49,177.08","826,657","55,874,210,800"
2024-02-23,"72,600","73,800","68,800","69,300","69,960.00","61,357.50","48,982.92","609,487","43,169,312,175"
2024-02-22,"70,400","72,900","69,900","72,900","69,200.00","60,397.50","48,767.50","960,547","68,827,520,700"
2024-02-21,"69,000","70,200","66,800","69,300","67,100.00","59,287.50","48,531.67","458,942","31,572,934,100"
2024-02-20,"69,400","70,500","67,700","68,700","65,920.00","58,337.50","48,315.42","1,058,424","72,794,300,824"
2024-02-19,"67,000","69,600","66,300","69,600","65,320.00","57,355.00","48,111.67","1,095,587","75,252,708,482"
2024-02-16,"63,500","65,500","62,400","65,500","64,440.00","56,245.00","47,899.58","736,825","47,291,360,200"
2024-02-15,"64,000","64,100","60,900","62,400","64,580.00","55,312.50","47,720.00","620,951","38,598,709,400"
2024-02-14,"64,300","65,700","62,500","63,400","64,580.00","54,577.50","47,566.25","630,657","40,300,743,850"
2024-02-13,"64,700","66,300","62,400","65,700","63,760.00","53,845.00","47,414.17","726,677","47,370,497,600"
2024-02-08,"65,400","66,700","63,600","65,200","62,520.00","52,982.50","47,245.83","893,875","58,535,970,450"
2024-02-07,"64,000","66,900","63,000","66,200","60,200.00","52,160.00","47,085.83","1,677,933","109,415,459,300"
2024-02-06,"59,300","63,600","59,300","62,400","57,340.00","51,255.00","46,917.92","1,545,000","95,324,258,400"
2024-02-05,"59,600","61,000","58,600","59,300","55,160.00","50,607.50","46,776.67","1,159,359","69,103,983,800"
2024-02-02,"54,500","59,900","54,000","59,500","53,420.00","50,052.50","46,655.42","2,480,164","144,093,873,750"
2024-02-01,"52,000","54,000","51,500","53,600","51,580.00","49,512.50","46,542.92","949,791","50,642,329,000"
2024-01-31,"51,500","52,400","51,000","51,900","50,830.00","49,277.50","46,476.67","428,031","22,177,585,500"
2024-01-30,"50,500","52,000","50,500","51,500","50,470.00","49,155.00","46,418.75","229,579","11,804,225,800"
2024-01-29,"50,600","51,500","49,950","50,600","50,310.00","49,215.00","46,363.75","212,117","10,756,937,550"
2024-01-26,"49,000","50,500","48,750","50,300","50,250.00","49,315.00","46,320.42","124,878","6,249,193,362"
2024-01-25,"50,100","50,300","49,150","49,850","50,000.00","49,325.00","46,271.25","173,811","8,619,616,450"
2024-01-24,"50,800","50,900","49,750","50,100","49,510.00","49,325.00","46,234.17","196,333","9,844,413,500"
2024-01-23,"50,700","50,700","49,550","50,700","48,860.00","49,290.00","46,197.50","208,325","10,519,372,950"
2024-01-22,"49,500","50,500","49,350","50,300","48,260.00","49,290.00","46,131.67","198,916","9,996,759,350"
2024-01-19,"47,850","49,200","47,850","49,050","47,950.00","49,330.00","46,075.42","227,431","11,095,982,800"
2024-01-18,"48,300","48,300","46,750","47,400","47,830.00","49,370.00","46,032.92","200,180","9,498,015,900"
2024-01-17,"48,600","48,600","46,700","46,850","48,100.00","49,505.00","46,025.42","138,407","6,526,462,650"
2024-01-16,"48,200","49,150","47,600","47,700","48,350.00","49,717.50","46,024.17","124,048","5,977,355,450"
2024-01-15,"48,750","49,100","48,050","48,750","48,700.00","49,872.50","46,013.75","116,554","5,681,819,150"
2024-01-12,"48,650","49,000","48,050","48,450","48,590.00","49,950.00","45,992.92","111,634","5,408,003,500"
2024-01-11,"48,150","49,600","47,950","48,750","48,640.00","50,025.00","45,976.25","191,227","9,344,404,248"
2024-01-10,"49,350","49,450","48,100","48,100","48,670.00","50,085.00","45,962.08","99,115","4,813,524,225"
2024-01-09,"49,350","49,650","48,600","49,450","48,940.00","50,160.00","45,946.67","204,821","10,121,724,950"
2024-01-08,"49,150","49,150","48,050","48,200","49,590.00","50,135.00","45,916.67","103,484","5,007,865,750"
2024-01-05,"48,900","49,200","48,350","48,700","50,470.00","50,162.50","45,895.00","95,957","4,671,549,650"
2024-01-04,"49,000","49,700","48,350","48,900","50,830.00","50,155.00","45,856.67","158,190","7,753,399,300"
2024-01-03,"51,500","51,700","49,450","49,450","51,020.00","50,192.50","45,817.92","215,671","10,784,592,100"
2024-01-02,"52,000","52,800","51,400","52,700","51,010.00","50,172.50","45,782.50","172,716","9,025,786,600"
2023-12-28,"50,500","52,600","49,800","52,600","50,610.00","50,087.50","45,728.33","393,314","20,295,511,450"
2023-12-27,"49,850","50,500","48,850","50,500","50,310.00","49,955.00","45,670.42","143,414","7,104,393,950"
2023-12-26,"50,200","50,600","48,650","49,850","50,180.00","49,940.00","45,632.50","160,691","7,932,756,900"
2023-12-22,"51,200","51,200","49,300","49,400","50,230.00","49,905.00","45,585.83","201,730","10,053,071,100"
2023-12-21,"50,800","51,100","50,300","50,700","50,570.00","49,837.50","45,542.92","99,373","5,039,862,800"
2023-12-20,"50,500","51,400","49,900","51,100","50,590.00","49,752.50","45,493.75","282,242","14,408,739,250"
2023-12-19,"49,650","50,300","49,550","49,850","50,430.00","49,650.00","45,442.08","144,222","7,195,484,150"
2023-12-18,"50,500","50,900","49,950","50,100","50,450.00","49,622.50","45,400.83","165,648","8,352,769,550"
2023-12-15,"50,400","51,100","50,200","51,100","50,420.00","49,472.50","45,360.42","410,467","20,892,768,295"
2023-12-14,"50,800","51,000","50,400","50,800","50,120.00","49,347.50","45,317.50","435,768","22,131,886,100"
2023-12-13,"50,000","50,500","49,700","50,300","49,750.00","49,275.00","45,279.17","191,808","9,646,671,300"
2023-12-12,"50,600","50,700","49,800","49,950","49,440.00","49,192.50","45,247.50","165,182","8,292,845,100"
2023-12-11,"50,200","50,400","49,550","49,950","49,160.00","49,110.00","45,222.92","154,754","7,732,426,250"
2023-12-08,"48,950","50,500","48,800","49,600","49,100.00","49,035.00","45,202.92","186,974","9,331,561,950"
2023-12-07,"48,050","49,000","48,000","48,950","48,990.00","48,967.50","45,188.75","102,920","5,004,588,550"
2023-12-06,"48,550","49,600","48,500","48,750","49,400.00","48,912.50","45,173.75","157,403","7,700,426,100"
2023-12-05,"49,000","49,600","48,500","48,550","49,640.00","48,820.00","45,170.42","152,773","7,461,268,800"
2023-12-04,"50,600","50,600","49,450","49,650","49,970.00","48,765.00","45,145.83","152,365","7,617,640,150"
2023-12-01,"50,300","50,900","49,000","49,050","49,870.00","48,642.50","45,118.75","157,711","7,824,208,500"
2023-11-30,"50,000","51,000","47,500","51,000","49,670.00","48,452.50","45,087.50","1,210,860","61,305,569,218"
2023-11-29,"50,300","50,600","49,350","49,950","49,270.00","48,150.00","45,046.67","329,142","16,427,923,500"
2023-11-28,"49,550","50,700","49,200","50,200","49,090.00","47,797.50","45,006.67","1,072,228","53,347,429,750"
2023-11-27,"48,500","49,250","48,400","49,150","48,910.00","47,415.00","44,965.42","252,704","12,374,803,400"
2023-11-24,"49,000","49,400","47,800","48,050","48,500.00","47,117.50","44,935.83","184,405","8,945,506,200"
2023-11-23,"48,600","49,550","48,600","49,000","48,610.00","46,825.00","44,920.00","188,660","9,254,833,100"
2023-11-22,"48,800","49,550","48,450","49,050","48,680.00","46,522.50","44,897.08","233,919","11,478,039,400"
2023-11-21,"47,600","49,350","46,950","49,300","48,600.00","46,257.50","44,874.58","359,351","17,576,540,792"
2023-11-20,"48,600","48,600","45,150","47,100","48,400.00","45,925.00","44,843.75","373,941","17,414,458,350"
2023-11-17,"49,200","49,450","48,400","48,600","48,670.00","45,687.50","44,821.25","223,112","10,891,542,400"
2023-11-16,"48,650","49,400","48,250","49,350","48,600.00","45,392.50","44,788.75","222,175","10,891,727,950"
2023-11-15,"48,900","49,200","48,500","48,650","48,300.00","45,122.50","44,754.17","486,076","23,746,555,600"
2023-11-14,"48,900","48,900","48,100","48,300","47,950.00","44,915.00","44,719.58","216,979","10,523,625,800"
2023-11-13,"48,300","48,700","48,050","48,450","47,780.00","44,740.00","44,676.67","191,063","9,251,095,350"
2023-11-10,"47,400","48,250","47,100","48,250","47,530.00","44,537.50","44,630.00","206,030","9,891,098,600"
2023-11-09,"46,550","47,950","46,550","47,850","46,930.00","44,357.50","44,583.33","401,368","19,138,650,400"
2023-11-08,"48,000","48,300","46,800","46,900","46,350.00","44,195.00","44,538.75","289,356","13,696,844,550"
2023-11-07,"47,250","47,450","46,550","47,450","45,550.00","44,025.00","44,498.75","414,929","19,512,403,800"
2023-11-06,"44,650","47,200","44,650","47,200","44,570.00","43,822.50","44,452.50","318,311","14,723,665,300"
2023-11-03,"45,350","45,800","45,000","45,250","43,770.00","43,597.50","44,409.17","153,519","6,972,108,000"
2023-11-02,"44,000","45,200","43,350","44,950","43,160.00","43,472.50","44,385.00","305,062","13,646,673,000"
2023-11-01,"42,600","43,700","42,600","42,900","42,760.00","43,295.00","44,361.25","194,612","8,384,310,650"
2023-10-31,"44,000","44,200","42,200","42,550","42,930.00","43,272.50","44,352.08","192,333","8,225,841,350"
2023-10-30,"41,800","43,650","41,700","43,200","42,950.00","43,277.50","44,345.42","205,587","8,861,924,200"
2023-10-27,"43,900","44,100","42,200","42,200","42,780.00","43,285.00","44,330.00","133,842","5,709,881,600"
2023-10-26,"43,350","43,450","42,700","42,950","42,880.00","43,317.50","44,332.08","283,470","12,191,707,550"
2023-10-25,"42,550","44,300","42,550","43,750","43,080.00","43,275.00","44,313.33","206,096","9,028,168,850"
2023-10-24,"43,200","43,300","41,900","42,650","43,230.00","43,247.50","44,285.42","162,397","6,926,846,800"
2023-10-23,"43,550","43,550","42,250","42,350","43,660.00","43,255.00","44,259.58","206,955","8,816,862,050"
2023-10-20,"43,600","44,300","42,600","42,700","44,070.00","43,225.00","44,243.33","212,801","9,146,491,600"
2023-10-19,"43,750","45,000","43,750","43,950","44,460.00","43,202.50","44,234.17","352,711","15,620,669,600"
2023-10-18,"44,800","45,200","44,100","44,500","44,590.00","43,075.00","44,206.67","215,689","9,669,890,850"
2023-10-17,"44,500","44,950","43,600","44,800","44,390.00","42,910.00","44,175.42","275,727","12,273,273,600"
2023-10-16,"44,650","45,050","43,700","44,400","44,110.00","42,690.00","44,140.42","200,624","8,884,236,250"
2023-10-13,"43,600","44,950","43,550","44,650","43,770.00","42,477.50","44,108.33","175,146","7,800,580,850"
2023-10-12,"44,000","44,600","43,450","44,600","43,390.00","42,332.50","44,074.17","196,913","8,726,086,350"
2023-10-11,"44,100","44,100","43,450","43,500","42,750.00","42,260.00","44,036.67","171,446","7,502,793,150"
2023-10-10,"43,950","44,100","43,100","43,400","42,540.00","42,270.00","44,015.00","282,507","12,353,882,100"
2023-10-06,"43,150","43,250","42,000","42,700","42,390.00","42,297.50","43,980.42","183,079","7,823,870,950"
2023-10-05,"41,400","42,950","41,200","42,750","42,520.00","42,372.50","43,948.75","366,470","15,569,561,050"
2023-10-04,"41,550","41,800","40,700","41,400","42,540.00","42,462.50","43,919.17","392,476","16,211,736,600"
2023-09-27,"42,050","42,900","41,600","42,450","42,680.00","42,647.50","43,894.58","375,365","15,867,541,200"
2023-09-26,"42,900","43,050","41,800","42,650","42,830.00","42,807.50","43,862.08","329,337","14,008,855,875"
2023-09-25,"43,200","43,700","42,700","43,350","42,860.00","42,875.00","43,828.75","344,376","14,909,336,700"
2023-09-22,"41,500","43,150","41,500","42,850","42,540.00","42,907.50","43,792.50","373,714","15,927,618,850"
2023-09-21,"42,600","42,850","41,850","42,100","42,420.00","42,937.50","43,766.67","336,984","14,245,197,500"
2023-09-20,"43,200","43,300","42,600","43,200","42,280.00","43,062.50","43,743.33","368,483","15,862,153,300"
2023-09-19,"41,650","42,950","41,650","42,800","41,880.00","43,070.00","43,700.42","313,502","13,379,409,900"
2023-09-18,"42,250","42,400","41,500","41,750","41,400.00","43,142.50","43,655.00","280,877","11,747,140,443"
2023-09-15,"41,250","42,600","40,450","42,250","41,080.00","43,262.50","43,614.58","807,916","33,875,930,900"
2023-09-14,"41,850","42,850","39,500","41,400","40,980.00","43,347.50","43,575.00","2,720,512","111,280,661,250"
2023-09-13,"40,000","41,200","40,000","41,200","41,330.00","43,475.00","43,543.75","381,635","15,642,564,607"
2023-09-12,"40,300","40,900","39,250","40,400","41,830.00","43,672.50","43,510.83","465,632","18,743,025,100"
2023-09-11,"41,800","41,900","39,600","40,150","42,540.00","43,927.50","43,482.50","955,740","38,463,289,800"
2023-09-08,"43,100","43,450","41,700","41,750","43,350.00","44,220.00","43,455.00","336,941","14,205,050,550"
2023-09-07,"43,150","43,850","42,750","43,150","43,910.00","44,435.00","43,413.75","281,377","12,144,856,450"
2023-09-06,"43,650","44,300","43,450","43,700","44,300.00","44,550.00","43,354.17","179,407","7,840,782,550"
2023-09-05,"43,700","44,500","43,550","43,950","44,690.00","44,602.50","43,287.08","248,605","10,933,407,800"
2023-09-04,"44,100","44,400","43,650","44,200","44,700.00","44,705.00","43,220.00","212,182","9,320,946,100"
2023-09-01,"45,050","45,900","44,350","44,550","44,660.00","44,777.50","43,170.42","229,353","10,316,597,750"
2023-08-31,"45,600","45,750","45,000","45,100","44,440.00","44,797.50","43,119.17","367,110","16,620,295,100"
2023-08-30,"44,400","45,900","44,400","45,650","44,340.00","44,787.50","43,075.83","328,947","14,985,755,550"
2023-08-29,"43,850","44,500","43,700","44,000","43,880.00","44,775.00","43,035.00","265,765","11,755,030,867"
2023-08-28,"44,400","44,400","43,350","44,000","43,930.00","44,795.00","43,015.83","128,142","5,619,914,600"
2023-08-25,"44,050","44,300","42,800","43,450","43,960.00","44,865.00","42,989.58","332,787","14,430,614,728"
2023-08-24,"43,850","45,100","43,850","44,600","44,060.00","44,977.50","42,962.08","343,081","15,315,345,503"
2023-08-23,"43,700","44,250","43,100","43,350","43,930.00","44,887.50","42,914.58","185,107","8,062,477,452"
2023-08-22,"44,200","44,700","44,000","44,250","44,290.00","44,897.50","42,872.92","150,024","6,652,545,850"
2023-08-21,"44,650","44,950","43,350","44,150","44,540.00","44,882.50","42,826.67","165,590","7,308,614,300"
2023-08-18,"43,550","44,550","42,800","43,950","44,910.00","45,000.00","42,786.25","242,126","10,636,224,300"
2023-08-17,"44,800","45,600","43,650","43,950","45,330.00","45,137.50","42,735.42","248,448","11,009,667,600"
2023-08-16,"45,000","46,050","45,000","45,150","45,630.00","45,262.50","42,674.17","313,101","14,232,861,500"
2023-08-14,"46,000","46,600","45,300","45,500","45,550.00","45,317.50","42,613.75","178,901","8,211,223,600"
2023-08-11,"45,600","47,700","45,600","46,000","45,650.00","45,365.00","42,555.00","357,547","16,727,455,550"
2023-08-10,"45,500","46,100","44,650","46,050","45,580.00","45,417.50","42,477.92","310,501","14,096,490,400"
2023-08-09,"45,000","45,550","44,450","45,450","45,360.00","45,427.50","42,404.17","341,549","15,401,367,650"
2023-08-08,"46,350","46,350","44,600","44,750","45,250.00","45,447.50","42,328.33","242,914","10,954,021,696"
2023-08-07,"45,300","46,300","44,900","46,000","45,380.00","45,490.00","42,263.75","243,478","11,163,508,850"
2023-08-04,"45,050","46,200","44,300","45,650","45,060.00","45,395.00","42,185.00","317,982","14,491,791,150"
2023-08-03,"45,450","45,450","44,100","44,950","45,010.00","45,325.00","42,114.58","309,249","13,802,437,150"
2023-08-02,"44,800","45,900","44,400","44,900","45,160.00","45,337.50","42,047.08","333,639","15,009,269,700"
2023-08-01,"43,850","45,400","43,550","45,400","44,740.00","45,402.50","41,983.33","249,227","11,162,514,750"
2023-07-31,"45,200","45,450","43,500","44,400","44,370.00","45,415.00","41,905.00","368,000","16,318,851,750"
2023-07-28,"44,900","45,800","44,300","45,400","44,280.00","45,492.50","41,833.75","353,728","15,986,420,750"
2023-07-27,"43,100","46,150","43,000","45,700","44,500.00","45,435.00","41,760.42","495,393","22,282,931,200"
2023-07-26,"43,100","43,350","42,300","42,800","44,700.00","45,362.50","41,687.92","525,056","22,400,095,050"
2023-07-25,"43,800","43,950","42,000","43,550","45,430.00","45,462.50","41,639.17","356,148","15,369,833,650"
2023-07-24,"46,050","46,150","43,850","43,950","45,970.00","45,530.00","41,578.33","439,391","19,615,138,600"
2023-07-21,"46,700","46,700","45,500","46,500","46,470.00","45,577.50","41,525.00","206,805","9,526,167,300"
2023-07-20,"46,000","46,950","45,750","46,700","46,580.00","45,515.00","41,451.67","233,638","10,805,447,700"
2023-07-19,"46,050","46,600","45,900","46,450","46,490.00","45,477.50","41,374.17","240,636","11,127,457,300"
2023-07-18,"46,450","46,500","45,550","46,250","46,370.00","45,465.00","41,293.33","231,483","10,640,194,200"
2023-07-17,"46,600","47,000","46,050","46,450","46,240.00","45,477.50","41,201.67","161,573","7,518,021,800"
2023-07-14,"46,300","47,450","45,900","47,050","45,770.00","45,505.00","41,108.75","388,298","18,182,522,550"
2023-07-13,"46,300","46,800","45,650","46,250","45,210.00","45,530.00","41,012.50","348,701","16,153,365,250"
2023-07-12,"45,650","46,150","45,000","45,850","45,000.00","45,612.50","40,923.75","212,216","9,703,635,275"
2023-07-11,"44,500","45,600","44,200","45,600","45,070.00","45,677.50","40,839.17","243,816","11,028,525,150"
2023-07-10,"43,950","44,500","43,350","44,100","45,080.00","45,815.00","40,757.92","232,593","10,221,972,250"
2023-07-07,"44,550","44,800","43,850","44,250","45,450.00","45,890.00","40,690.00","989,549","43,732,093,850"
2023-07-06,"46,200","46,200","44,750","45,200","45,450.00","45,997.50","40,617.92","314,026","14,236,806,850"
2023-07-05,"45,650","46,450","45,400","46,200","45,260.00","46,002.50","40,534.17","315,740","14,563,770,775"
2023-07-04,"45,500","46,300","45,450","45,650","44,980.00","45,997.50","40,439.17","175,088","8,019,767,000"
2023-07-03,"44,250","46,300","44,050","45,950","44,830.00","45,972.50","40,342.50","383,775","17,530,628,750"
